transaction_branch_id,branch_type,transaction_type_id,member_card,Number_of_Months,amount_paid,Coupon_Discount,magazine_fee_paid,payable_amount,reading_fee_paid,security_deposit,reward_points,num_books,num_magazine,display_name,adjustment_amount,Percentage_Share,member_branch_id,Transaction_Month,Transaction_Year,TAX_TYPE,Renewal_Amount,taxable_amount,TAX_AMOUNT,Membership_expiry_date,created_name,hierarchical_cluster
26,Profit share,2.0,M227018,3,1416,0.0,0.0,1416,1416.0,0,0,2,0,Default package,0,50,26,9,2024,GST,66,1200,216.0,2024-12-22,FRONTOFFICE VBL,1
126,Active User Branch,4.0,M225274,0,118,0.0,0.0,118,0.0,0,0,2,0,Default package,0,35,126,9,2024,GST,66,100,18.0,2025-02-24,FRONT OFFICE HSR,1
26,Profit share,2.0,M047681,1,472,0.0,0.0,1145,472.0,0,0,2,0,Default package,673,50,26,9,2024,GST,66,400,72.0,2024-10-22,FRONTOFFICE VBL,1
77,Active User Branch,2.0,m222673,3,1770,0.0,0.0,13444,1770.0,0,0,3,0,Default package,11674,30,77,9,2024,GST,66,1500,270.0,2024-12-22,FRONTOFFICE,1
26,Profit share,2.0,M151136,3,1416,0.0,0.0,1416,1416.0,0,0,2,0,Default package,0,100,1008,9,2024,GST,66,1200,216.0,2024-12-22,FRONTOFFICE VBL,1
131,Active User Branch,2.0,M219972,3,1416,0.0,0.0,1416,1416.0,0,0,2,0,Default package,0,30,131,9,2024,GST,66,1200,216.0,2024-12-23,FRONTOFFICE ELC,1
26,Profit share,2.0,M023777,1,354,0.0,0.0,354,354.0,0,0,1,0,Default package,0,50,26,9,2024,GST,66,300,54.0,2024-10-22,FRONTOFFICE VBL,1
26,Profit share,2.0,M224228,0,520,0.0,520.0,520,520.0,0,0,2,1,Default package,0,50,26,9,2024,GST,74,441,79.32,2025-02-23,FRONTOFFICE VBL,1
810,Company Owned,2.0,M188939,6,2549,283.2,0.0,2549,2548.8,0,0,2,0,Online Package,0,100,1008,9,2024,GST,74,2160,388.83,2025-03-21,PRIYA SURESH,1
77,Active User Branch,2.0,M2257173,3,999,0.0,0.0,999,999.0,0,0,1,0,Starter Plan 999,0,30,77,9,2024,GST,74,847,152.39,2024-12-21,FRONTOFFICE,1
114,Revenue Share,2.0,M226272,3,1770,0.0,0.0,5212,1770.0,0,0,3,0,Default package,3442,20,114,9,2024,GST,82,1500,270.0,2024-12-20,FRONTOFFICE SARJAPURATOWN,1
26,Profit share,2.0,M183036,3,1416,0.0,0.0,1416,1416.0,0,0,2,0,Default package,0,50,26,9,2024,GST,98,1200,216.0,2024-12-18,FRONTOFFICE VBL,1
