transaction_branch_id,branch_type,transaction_type_id,member_card,Number_of_Months,amount_paid,Coupon_Discount,magazine_fee_paid,payable_amount,reading_fee_paid,security_deposit,reward_points,num_books,num_magazine,display_name,adjustment_amount,Percentage_Share,member_branch_id,Transaction_Month,Transaction_Year,TAX_TYPE,Renewal_Amount,taxable_amount,TAX_AMOUNT,Membership_expiry_date,created_name,hierarchical_cluster
26,Profit share,2.0,M227835,12,5664,1416.0,0.0,5664,5664.0,0,0,3,0,Default package,0,50,26,9,2024,GST,66,4800,864.0,2025-10-17,FRONTOFFICE VBL,1
137,Active User Branch,1.0,M228283,12,5664,2014.0,0.0,5664,5664.0,0,0,3,0,Default package,0,30,137,9,2024,IGST,66,4800,864.0,2025-09-22,PRIYA SUNDARARAJAN,1
810,Company Owned,1.0,M223410,12,3965,1132.8,0.0,5129,4531.2,598,0,2,0,Online Package,1164,100,1008,9,2024,GST,66,2853,513.61,2025-09-22,PRIYA SURESH,1
137,Active User Branch,2.0,M226452,12,5664,1416.0,0.0,5664,5664.0,0,0,3,0,Default package,0,30,137,9,2024,IGST,66,4800,864.0,2025-10-10,PRIYA SUNDARARAJAN,1
810,Company Owned,1.0,M223409,12,4531,1132.8,0.0,5129,4531.2,598,0,2,0,Online Package,598,100,1008,9,2024,GST,74,3333,599.95,2025-09-21,PRIYA SURESH,1
126,Active User Branch,2.0,M2202408,12,6797,1699.2,0.0,7198,6796.8,0,0,4,0,Default package,401,35,126,9,2024,GST,90,5760,1036.83,2025-09-19,FRONT OFFICE HSR,1
810,Company Owned,2.0,M020622,12,4956,1416.0,0.0,5664,5664.0,0,0,3,0,Default package,0,30,135,9,2024,GST,115,4200,756.0,2025-09-16,PRIYA SURESH,1
810,Company Owned,2.0,M224500,12,6500,1982.4,0.0,7930,7929.6,0,0,5,0,Default package,0,100,45,9,2024,GST,131,5508,991.53,2025-09-14,PRIYA SURESH,1
126,Active User Branch,2.0,M167952,12,9062,2265.6,0.0,9062,9062.4,0,0,6,0,Default package,0,35,126,9,2024,GST,131,7680,1382.34,2025-09-14,FRONT OFFICE HSR,1
137,Active User Branch,1.0,M228063,12,5664,2014.0,0.0,5664,5664.0,0,0,3,0,Default package,0,30,137,9,2024,IGST,139,4800,864.0,2025-09-13,PRIYA SUNDARARAJAN,1
810,Company Owned,2.0,M199798,12,5098,1699.2,0.0,6797,6796.8,0,0,4,0,Default package,0,100,45,9,2024,GST,221,4320,777.66,2025-09-03,PRIYA SURESH,1
126,Active User Branch,2.0,M225581,12,6797,1699.2,0.0,6797,6796.8,0,0,4,0,Default package,0,35,126,9,2024,GST,221,5760,1036.83,2025-09-10,FRONT OFFICE HSR,1
137,Active User Branch,1.0,M228060,12,4531,1730.8,0.0,4531,4531.2,0,0,2,0,Default package,0,30,137,9,2024,IGST,221,3840,691.17,2025-09-03,PRIYA SUNDARARAJAN,1
137,Active User Branch,2.0,M226885,12,6797,1699.2,0.0,6797,6796.8,0,0,4,0,Default package,0,30,137,9,2024,IGST,229,5760,1036.83,2025-09-02,PRIYA SUNDARARAJAN,1
126,Active User Branch,1.0,M228157,12,6796,2297.2,0.0,6796,6796.8,0,0,4,0,Default package,0,35,126,9,2024,GST,238,5759,1036.68,2025-09-01,FRONT OFFICE HSR,1
126,Active User Branch,2.0,M163728,12,13594,3398.4,0.0,13594,13593.6,0,0,10,0,Default package,0,35,126,8,2024,GST,0,11520,2073.66,2025-08-31,FRONT OFFICE HSR,1
810,Company Owned,1.0,M223405,12,12000,3964.8,0.0,16457,15859.2,598,0,12,0,Online Package,4457,100,1008,8,2024,GST,8,9663,1739.29,2025-08-30,PRIYA SURESH,1
810,Company Owned,1.0,M223403,12,4531,1132.8,0.0,5129,4531.2,598,0,2,0,Online Package,598,100,1008,8,2024,GST,25,3333,599.95,2025-08-28,PRIYA SURESH,1
137,Active User Branch,1.0,M228059,12,6796,2297.2,0.0,6796,6796.8,0,0,4,0,Default package,0,30,137,8,2024,IGST,41,5759,1036.68,2025-08-26,PRIYA SUNDARARAJAN,1
126,Active User Branch,1.0,M228152,12,4531,1730.8,0.0,4531,4531.2,0,0,2,0,Default package,0,35,126,8,2024,GST,49,3840,691.17,2025-08-25,FRONT OFFICE HSR,1
126,Active User Branch,2.0,M197285,12,6797,1699.2,0.0,11895,6796.8,0,0,4,0,Default package,5098,35,126,8,2024,GST,90,5760,1036.83,2025-08-20,FRONT OFFICE HSR,1
137,Active User Branch,1.0,M228051,12,4531,1730.8,0.0,4531,4531.2,0,0,2,0,Default package,0,30,137,8,2024,IGST,106,3840,691.17,2025-08-18,PRIYA SUNDARARAJAN,1
45,Company Owned,2.0,M156131,12,4956,1416.0,0.0,5967,5664.0,0,0,3,0,Default package,0,100,45,8,2024,GST,115,4200,756.0,2025-08-17,FRONTOFFICE BANASHANKARI,1
45,Company Owned,2.0,M141397,12,5097,1699.2,0.0,6797,6796.8,0,0,4,0,Default package,0,100,45,8,2024,GST,172,4319,777.51,2025-08-24,FRONTOFFICE BANASHANKARI,1
810,Company Owned,1.0,M223399,12,3965,1132.8,0.0,5129,4531.2,598,0,2,0,Online Package,1164,100,1008,8,2024,GST,197,2853,513.61,2025-08-07,PRIYA SURESH,1
810,Company Owned,2.0,M210461,12,6500,2265.6,0.0,60793,9062.4,0,0,6,0,Online Package,0,100,1008,8,2024,GST,213,5508,991.53,2025-08-05,PRIYA SURESH,1
45,Company Owned,1.0,M228074,12,4531,1730.8,0.0,4531,4531.2,0,0,2,0,Default package,0,100,45,7,2024,GST,33,3840,691.17,2025-07-27,SHASHIREKHA SRIDHAR,1
810,Company Owned,2.0,M187170,12,5357,1699.2,0.0,6797,6796.8,0,0,4,0,Online Package,0,100,1008,7,2024,GST,41,4540,817.17,2025-07-26,PRIYA SURESH,1
37,Company Owned,2.0,M138840,12,5098,1416.0,0.0,5664,5664.0,0,0,3,0,Default package,0,100,37,7,2024,GST,41,4320,777.66,2025-07-26,FRONTOFFICE MYSORE,1
26,Profit share,1.0,M227973,12,6624,2254.0,1200.0,6624,6624.0,0,0,3,1,Default package,0,50,26,7,2024,GST,90,5614,1010.44,2025-07-20,FRONTOFFICE VBL,1
26,Profit share,2.0,M226735,12,7757,1939.2,1200.0,7941,7756.8,0,0,4,1,Default package,184,50,26,7,2024,GST,115,6574,1183.27,2025-07-17,FRONTOFFICE VBL,1
137,Active User Branch,2.0,M225351,12,5664,1416.0,0.0,5664,5664.0,0,0,3,0,Default package,0,30,137,7,2024,IGST,139,4800,864.0,2025-07-30,PRIYA SUNDARARAJAN,1
114,Revenue Share,2.0,M159543,12,6797,1699.2,0.0,9806,6796.8,0,0,4,0,Default package,3009,20,114,7,2024,GST,147,5760,1036.83,2025-07-13,FRONTOFFICE SARJAPURATOWN,1
810,Company Owned,2.0,M085112,12,6000,1699.2,0.0,6915,6796.8,0,0,4,0,Default package,0,100,45,7,2024,GST,164,5085,915.25,2025-07-11,SHRUTHI,1
26,Profit share,2.0,M227297,12,4358,1089.6,1200.0,4358,4358.4,0,0,1,1,Default package,0,50,26,7,2024,GST,197,3693,664.78,2025-07-08,FRONTOFFICE VBL,1
126,Active User Branch,1.0,M227902,12,4531,1730.8,0.0,4531,4531.2,0,0,2,0,Default package,0,35,126,7,2024,GST,197,3840,691.17,2025-07-07,FRONT OFFICE HSR,1
810,Company Owned,2.0,M2200807,12,4248,1416.0,0.0,5664,5664.0,0,0,3,0,Online Package,0,100,1008,7,2024,GST,213,3600,648.0,2025-07-05,SHRUTHI,1
810,Company Owned,1.0,M223388,12,6796,1699.2,0.0,7394,6796.8,598,0,4,0,Online Package,598,100,1008,7,2024,GST,229,5253,945.46,2025-07-03,PRIYA SURESH,1
810,Company Owned,2.0,M057809,12,6077,2265.6,0.0,9062,9062.4,0,0,6,0,Online Package,0,100,1008,7,2024,GST,246,5150,927.0,2025-07-01,PRIYA SURESH,1
126,Active User Branch,1.0,M227897,12,5664,2014.0,0.0,5664,5664.0,0,0,3,0,Default package,0,35,126,6,2024,GST,0,4800,864.0,2025-06-30,FRONT OFFICE HSR,1
810,Company Owned,1.0,M223387,12,3965,1132.8,0.0,5129,4531.2,598,0,2,0,Online Package,1164,100,1008,6,2024,GST,8,2853,513.61,2025-06-29,PRIYA SURESH,1
126,Active User Branch,1.0,M227894,12,4531,1730.8,0.0,4531,4531.2,0,0,2,0,Default package,0,35,126,6,2024,GST,8,3840,691.17,2025-06-29,FRONT OFFICE HSR,1
810,Company Owned,2.0,M206447,12,6797,1699.2,0.0,14589,6796.8,0,0,4,0,Default package,7792,100,45,6,2024,GST,33,5760,1036.83,2025-06-26,SHRUTHI,1
126,Active User Branch,2.0,M226584,12,5664,1416.0,0.0,5664,5664.0,0,0,3,0,Default package,0,35,126,6,2024,GST,41,4800,864.0,2025-06-25,FRONT OFFICE HSR,1
137,Active User Branch,2.0,M2201143,12,6797,1699.2,0.0,6797,6796.8,0,0,4,0,Default package,0,30,137,6,2024,IGST,49,5760,1036.83,2025-06-24,PRIYA SUNDARARAJAN,1
131,Active User Branch,2.0,M226343,12,5664,1416.0,0.0,6624,5664.0,0,0,3,0,Default package,960,30,131,6,2024,GST,66,4800,864.0,2025-06-22,FRONTOFFICE ELC,1
810,Company Owned,2.0,M113556,12,5357,1699.2,0.0,6797,6796.8,0,0,4,0,Online Package,0,100,1008,6,2024,GST,82,4540,817.17,2025-06-21,PRIYA SURESH,1
131,Active User Branch,1.0,M227817,12,4531,1730.8,0.0,4531,4531.2,0,0,2,0,Default package,0,30,131,6,2024,GST,98,3840,691.17,2025-06-18,FRONTOFFICE ELC,1
810,Company Owned,2.0,M001258,12,6797,2265.6,0.0,9062,9062.4,0,0,6,0,Online Package,0,100,1008,6,2024,GST,98,5760,1036.83,2025-06-18,PRIYA SURESH,1
77,Active User Branch,1.0,M2257172,12,4531,1730.8,0.0,4531,4531.2,0,0,2,0,Default package,0,30,77,6,2024,GST,123,3840,691.17,2025-06-15,FRONTOFFICE,1
126,Active User Branch,2.0,M2200545,12,5664,1416.0,0.0,5782,5664.0,0,0,3,0,Default package,118,35,126,6,2024,GST,123,4800,864.0,2025-06-15,FRONT OFFICE HSR,1
137,Active User Branch,2.0,M224823,12,5664,1416.0,0.0,5664,5664.0,0,0,3,0,Default package,0,30,137,6,2024,IGST,123,4800,864.0,2025-06-16,PRIYA SUNDARARAJAN,1
131,Active User Branch,2.0,M2202481,12,5664,1416.0,0.0,5664,5664.0,0,0,3,0,Default package,0,30,131,6,2024,GST,139,4800,864.0,2025-06-13,FRONTOFFICE ELC,1
126,Active User Branch,2.0,M224740,12,5664,1416.0,0.0,5703,5664.0,0,0,3,0,Default package,39,35,126,6,2024,GST,147,4800,864.0,2025-06-12,FRONT OFFICE HSR,1
45,Company Owned,1.0,M227290,12,4531,1730.8,0.0,4531,4531.2,0,0,2,0,Default package,0,100,45,6,2024,GST,172,3840,691.17,2025-06-09,SHASHIREKHA SRIDHAR,1
