Detail,Value,ds,amount_paid,Number_of_Months,Coupon_Discount,payable_amount,id,Transaction_Year,transaction_type_id,magazine_fee_paid,day_of_week,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Coupon_Discount,Coupon_Discount_lower,Coupon_Discount_upper,Number_of_Months,Number_of_Months_lower,Number_of_Months_upper,Transaction_Year,Transaction_Year_lower,Transaction_Year_upper,additive_terms,additive_terms_lower,additive_terms_upper,amount_paid,amount_paid_lower,amount_paid_upper,daily,daily_lower,daily_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,id,id_lower,id_upper,magazine_fee_paid,magazine_fee_paid_lower,magazine_fee_paid_upper,payable_amount,payable_amount_lower,payable_amount_upper,transaction_type_id,transaction_type_id_lower,transaction_type_id_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
Forecasting Period,2024-08-15 00:00:00 to 2024-10-31 00:00:00,2024-08-15,22596.861313868612,1.686131386861314,3081.343065693431,26978.160583941608,23357796.386861313,1136.3868613138686,1.0364963503649636,35.03649635036496,3,2024-08-15,101646.4966209829,2062202.708115093,2068803.4350370325,101646.4966209829,101646.4966209829,-2263.221430485709,-2263.221430485709,-2263.221430485709,-420.0405605844897,-420.0405605844897,-420.0405605844897,2204704.091813268,2204704.091813268,2204704.091813268,1963794.1366996742,1963794.1366996742,1963794.1366996742,-17507.558402277762,-17507.558402277762,-17507.558402277762,-50982.4565435352,-50982.4565435352,-50982.4565435352,2015213.1449743353,2015213.1449743353,2015213.1449743353,-166646.01239474787,-166646.01239474787,-166646.01239474787,-10.675832041197951,-10.675832041197951,-10.675832041197951,-2550.37973167039,-2550.37973167039,-2550.37973167039,-93.05848712547777,-93.05848712547777,-93.05848712547777,218.7034279031282,218.7034279031282,218.7034279031282,-655.255159028921,-655.255159028921,-655.255159028921,0.0,0.0,0.0,2065440.633320657
Regressors,"amount_paid, Number_of_Months, Coupon_Discount, payable_amount, id, Transaction_Year, transaction_type_id, magazine_fee_paid",2024-08-16,22908.350364963506,3.0,3640.2233576642334,25154.71532846716,23357808.211678833,1136.3868613138686,0.8686131386861314,43.79562043795621,4,2024-08-16,101655.1053513412,2062425.868353921,2069013.3257084314,101655.1053513412,101655.1053513412,-1988.4769082558903,-1988.4769082558903,-1988.4769082558903,-231.89953728723833,-231.89953728723833,-231.89953728723833,2204704.091813268,2204704.091813268,2204704.091813268,1963984.1360237033,1963984.1360237033,1963984.1360237033,-17269.175051567883,-17269.175051567883,-17269.175051567883,-50982.4565435352,-50982.4565435352,-50982.4565435352,2015709.8302219918,2015709.8302219918,2015709.8302219918,-166645.90411347174,-166645.90411347174,-166645.90411347174,-10.490788827061396,-10.490788827061396,-10.490788827061396,-2737.3719322058896,-2737.3719322058896,-2737.3719322058896,-110.94325966079379,-110.94325966079379,-110.94325966079379,-79.45642856768514,-79.45642856768514,-79.45642856768514,-663.7812261852193,-663.7812261852193,-663.7812261852193,0.0,0.0,0.0,2065639.2413750445
Number of Days in future_df,78,2024-08-17,17067.777372262775,2.227007299270073,2691.1182481751825,23838.45766423358,21022036.39051095,1022.7481751824818,0.716058394160584,264.0875912408759,5,2024-08-17,101663.71408169952,2318596.459709364,2325445.862950207,101663.71408169952,101663.71408169952,-2455.0552320914207,-2455.0552320914207,-2455.0552320914207,-342.58917266045455,-342.58917266045455,-342.58917266045455,2487672.3399308263,2487672.3399308263,2487672.3399308263,2220181.1962401047,2220181.1962401047,2220181.1962401047,-21738.980186520923,-21738.980186520923,-21738.980186520923,-50982.4565435352,-50982.4565435352,-50982.4565435352,2272095.483094302,2272095.483094302,2272095.483094302,-188034.84758628963,-188034.84758628963,-188034.84758628963,-5.836951991526996,-5.836951991526996,-5.836951991526996,-2872.3526322668367,-2872.3526322668367,-2872.3526322668367,-127.19507470375486,-127.19507470375486,-127.19507470375486,-262.61152277584364,-262.61152277584364,-262.61152277584364,-669.2187878860396,-669.2187878860396,-669.2187878860396,0.0,0.0,0.0,2321844.910321804
Weekend Adjustment Factor,0.9,2024-08-18,14506.784671532849,1.9116788321167881,3378.4764700729925,13899.192700729927,21022045.351094894,1022.7481751824818,1.0116788321167882,59.12408759124088,6,2024-08-18,101672.32281205783,2314882.2891380824,2321722.7654970684,101672.32281205783,101672.32281205783,-2117.151196130322,-2117.151196130322,-2117.151196130322,-387.743018251795,-387.743018251795,-387.743018251795,2487672.3399308263,2487672.3399308263,2487672.3399308263,2216846.752131823,2216846.752131823,2216846.752131823,-23698.914312608547,-23698.914312608547,-23698.914312608547,-50982.4565435352,-50982.4565435352,-50982.4565435352,2269436.2838336243,2269436.2838336243,2269436.2838336243,-188034.76553314482,-188034.76553314482,-188034.76553314482,-10.16696320232242,-10.16696320232242,-10.16696320232242,-3891.6127507985307,-3891.6127507985307,-3891.6127507985307,-95.70232306548102,-95.70232306548102,-95.70232306548102,-936.3051857274577,-936.3051857274577,-936.3051857274577,-670.7699725389801,-670.7699725389801,-670.7699725389801,0.0,0.0,0.0,2318519.074943881
,,2024-08-19,21626.985401459857,3.35036496350365,4250.014635036497,23045.036496350367,23357836.94890511,1136.3868613138686,1.1240875912408759,87.59124087591242,0,2024-08-19,101680.93154241616,2062201.86879851,2069065.1348125048,101680.93154241616,101680.93154241616,-1688.7046393666774,-1688.7046393666774,-1688.7046393666774,-181.72859774130455,-181.72859774130455,-181.72859774130455,2204704.091813268,2204704.091813268,2204704.091813268,1963858.5141688795,1963858.5141688795,1963858.5141688795,-18249.806866421568,-18249.806866421568,-18249.806866421568,-50982.4565435352,-50982.4565435352,-50982.4565435352,2014891.2008175468,2014891.2008175468,2014891.2008175468,-166645.6409632347,-166645.6409632347,-166645.6409632347,-9.56557275637861,-9.56557275637861,-9.56557275637861,-2953.7170547459336,-2953.7170547459336,-2953.7170547459336,-83.72730145487813,-83.72730145487813,-83.72730145487813,617.412434806715,617.412434806715,617.412434806715,-667.6425399387812,-667.6425399387812,-667.6425399387812,0.0,0.0,0.0,2065539.4457112956
,,2024-08-20,30185.35766423358,2.6715328467153285,5728.972262773723,36799.29197080292,23357846.635036495,1136.3868613138686,0.5620437956204379,128.46715328467153,1,2024-08-20,101689.54027277447,2070203.4290761354,2077173.3567372698,101689.54027277447,101689.54027277447,-961.6517934022361,-961.6517934022361,-961.6517934022361,-278.93479311155113,-278.93479311155113,-278.93479311155113,2204704.091813268,2204704.091813268,2204704.091813268,1972035.5514642347,1972035.5514642347,1972035.5514642347,-11700.063145250031,-11700.063145250031,-11700.063145250031,-50982.4565435352,-50982.4565435352,-50982.4565435352,2023422.3512933766,2023422.3512933766,2023422.3512933766,-166645.5522661647,-166645.5522661647,-166645.5522661647,-8.70203775707468,-8.70203775707468,-8.70203775707468,-1543.234074698296,-1543.234074698296,-1543.234074698296,-143.6024095078926,-143.6024095078926,-143.6024095078926,254.73836915298716,254.73836915298716,254.73836915298716,-659.081654759793,-659.081654759793,-659.081654759793,0.0,0.0,0.0,2073725.0917370091
,,2024-08-21,21984.92700729927,1.686131386861314,2908.2481459854016,36932.401459854016,23357860.467153285,1136.3868613138686,1.1240875912408759,0.0,2,2024-08-21,101698.14900313278,2062768.2982133832,2069345.7945171436,101698.14900313278,101698.14900313278,-2348.3145742211755,-2348.3145742211755,-2348.3145742211755,-420.0405605844897,-420.0405605844897,-420.0405605844897,2204704.091813268,2204704.091813268,2204704.091813268,1964250.3710892205,1964250.3710892205,1964250.3710892205,-17975.873259257707,-17975.873259257707,-17975.873259257707,-50982.4565435352,-50982.4565435352,-50982.4565435352,2015689.7106583908,2015689.7106583908,2015689.7106583908,-166645.42560380782,-166645.42560380782,-166645.42560380782,-11.416004897744177,-11.416004897744177,-11.416004897744177,-1529.5838506539533,-1529.5838506539533,-1529.5838506539533,-83.72730145487813,-83.72730145487813,-83.72730145487813,187.51890520381806,187.51890520381806,187.51890520381806,-644.4019308385848,-644.4019308385848,-644.4019308385848,0.0,0.0,0.0,2065948.5200923532
,,2024-08-22,26438.788321167885,1.9489051094890513,5750.732846715328,27270.985401459857,23357872.408759125,1136.3868613138686,1.1240875912408759,315.3284671532847,3,2024-08-22,101706.75773349109,2066560.735516316,2073224.6401165838,101706.75773349109,101706.75773349109,-950.9543304135237,-950.9543304135237,-950.9543304135237,-382.4123559250394,-382.4123559250394,-382.4123559250394,2204704.091813268,2204704.091813268,2204704.091813268,1968162.4823829331,1968162.4823829331,1968162.4823829331,-14567.322044166553,-14567.322044166553,-14567.322044166553,-50982.4565435352,-50982.4565435352,-50982.4565435352,2019549.2541934897,2019549.2541934897,2019549.2541934897,-166645.316253087,-166645.316253087,-166645.316253087,-4.754449188828137,-4.754449188828137,-4.754449188828137,-2520.3508855425716,-2520.3508855425716,-2520.3508855425716,-83.72730145487813,-83.72730145487813,-83.72730145487813,218.70342790288274,218.70342790288274,218.70342790288274,-623.0186949239867,-623.0186949239867,-623.0186949239867,0.0,0.0,0.0,2069869.2401164242
,,2024-08-23,23012.116788321167,1.686131386861314,3928.1167883211683,22189.525547445253,23357885.357664235,1136.3868613138686,1.416058394160584,0.0,4,2024-08-23,101715.36646384942,2062354.8290111767,2068785.7378152409,101715.36646384942,101715.36646384942,-1846.9490279650688,-1846.9490279650688,-1846.9490279650688,-420.0405605844897,-420.0405605844897,-420.0405605844897,2204704.091813268,2204704.091813268,2204704.091813268,1963840.2637402022,1963840.2637402022,1963840.2637402022,-17189.762347961674,-17189.762347961674,-17189.762347961674,-50982.4565435352,-50982.4565435352,-50982.4565435352,2015496.6541318265,2015496.6541318265,2015496.6541318265,-166645.19767840562,-166645.19767840562,-166645.19767840562,-11.416004897744177,-11.416004897744177,-11.416004897744177,-3041.4487124075495,-3041.4487124075495,-3041.4487124075495,-52.623349219545915,-52.623349219545915,-52.623349219545915,-79.45642856851765,-79.45642856851765,-79.45642856851765,-594.4774195204287,-594.4774195204287,-594.4774195204287,0.0,0.0,0.0,2065555.6302040515
,,2024-08-24,12436.535036496352,3.1335766423357665,2438.947445255474,16720.265693430658,21022106.62992701,1022.7481751824818,0.9328467153284672,150.96350364963504,5,2024-08-24,101723.97519420773,2314411.9093153416,2321050.261492498,101723.97519420773,101723.97519420773,-2579.021934377828,-2579.021934377828,-2579.021934377828,-212.7718665853511,-212.7718665853511,-212.7718665853511,2487672.3399308263,2487672.3399308263,2487672.3399308263,2216044.8696623202,2216044.8696623202,2216044.8696623202,-25283.28154179745,-25283.28154179745,-25283.28154179745,-50982.4565435352,-50982.4565435352,-50982.4565435352,2267848.418036843,2267848.418036843,2267848.418036843,-188034.20439550956,-188034.20439550956,-188034.20439550956,-8.226785102100623,-8.226785102100623,-8.226785102100623,-3602.3149804417667,-3602.3149804417667,-3602.3149804417667,-104.1003901690207,-104.1003901690207,-104.1003901690207,-262.61152277471456,-262.61152277471456,-262.61152277471456,-558.4803082133456,-558.4803082133456,-558.4803082133456,0.0,0.0,0.0,2317768.844856528
