Detail,Value,ds,amount_paid,Number_of_Months,reading_fee_paid,payable_amount,id,Transaction_Year,day_of_week,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Number_of_Months,Number_of_Months_lower,Number_of_Months_upper,Transaction_Year,Transaction_Year_lower,Transaction_Year_upper,additive_terms,additive_terms_lower,additive_terms_upper,amount_paid,amount_paid_lower,amount_paid_upper,daily,daily_lower,daily_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,id,id_lower,id_upper,payable_amount,payable_amount_lower,payable_amount_upper,reading_fee_paid,reading_fee_paid_lower,reading_fee_paid_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
Forecasting Period,2024-08-15 00:00:00 to 2024-10-31 00:00:00,2024-08-15,22596.861313868612,1.686131386861314,21428.14598540146,26978.160583941608,23357796.386861313,1136.3868613138686,3,2024-08-15,18292.103293525837,304322.51688710245,309746.3135939591,18292.103293525837,18292.103293525837,-588.4525798804085,-588.4525798804085,-588.4525798804085,125114.48266584412,125114.48266584412,125114.48266584412,288683.48665658396,288683.48665658396,288683.48665658396,2456.108523508278,2456.108523508278,2456.108523508278,-10119.283398,-10119.283398,-10119.283398,298937.1303676713,298937.1303676713,298937.1303676713,178442.14012221567,178442.14012221567,178442.14012221567,719.7748581563006,719.7748581563006,719.7748581563006,-7206.923222172649,-7206.923222172649,-7206.923222172649,-154.0912985100028,-154.0912985100028,-154.0912985100028,19.730985422633978,19.730985422633978,19.730985422633978,0.0,0.0,0.0,306975.5899501098
Regressors,"amount_paid, Number_of_Months, reading_fee_paid, payable_amount, id, Transaction_Year",2024-08-16,22908.350364963506,3.0,21886.515328467154,25154.71532846716,23357808.211678833,1136.3868613138686,4,2024-08-16,18291.739489118772,304807.0052518976,310476.17033911205,18291.739489118772,18291.739489118772,-324.87786608002955,-324.87786608002955,-324.87786608002955,125114.48266584412,125114.48266584412,125114.48266584412,289380.26204925345,289380.26204925345,289380.26204925345,2422.666088755936,2422.666088755936,2422.666088755936,-10119.283398,-10119.283398,-10119.283398,299362.3229393724,299362.3229393724,299362.3229393724,178442.02417619113,178442.02417619113,178442.02417619113,772.5482875187672,772.5482875187672,772.5482875187672,-7064.5204128575,-7064.5204128575,-7064.5204128575,145.81436054224764,145.81436054224764,145.81436054224764,-8.591852661171522,-8.591852661171522,-8.591852661171522,0.0,0.0,0.0,307672.00153837225
Number of Days in future_df,78,2024-08-17,17067.777372262775,2.227007299270073,16678.45839416059,23838.45766423358,21022036.39051095,1022.7481751824818,5,2024-08-17,18291.375684711704,342797.39547473507,348297.79595365905,18291.375684711704,18291.375684711704,-479.94765603258594,-479.94765603258594,-479.94765603258594,141172.61314491933,141172.61314491933,141172.61314491933,327315.34539821715,327315.34539821715,327315.34539821715,3049.7281974821267,3049.7281974821267,3049.7281974821267,-10119.283398,-10119.283398,-10119.283398,337215.51095422806,337215.51095422806,337215.51095422806,201344.99553083608,201344.99553083608,201344.99553083608,810.6428947781236,810.6428947781236,810.6428947781236,-8682.521157755058,-8682.521157755058,-8682.521157755058,253.71529342697247,253.71529342697247,253.71529342697247,-34.597451437858744,-34.597451437858744,-34.597451437858744,0.0,0.0,0.0,345606.7210829288
Weekend Adjustment Factor,0.9,2024-08-18,14506.784671532849,1.9116788321167881,13868.549343065693,13899.192700729927,21022045.351094894,1022.7481751824818,6,2024-08-18,18291.01188030464,342297.33392159274,347703.680023147,18291.01188030464,18291.01188030464,-543.2055873446769,-543.2055873446769,-543.2055873446769,141172.61314491933,141172.61314491933,141172.61314491933,326732.2392172081,326732.2392172081,326732.2392172081,3324.6843508182924,3324.6843508182924,3324.6843508182924,-10119.283398,-10119.283398,-10119.283398,336841.81774443266,336841.81774443266,336841.81774443266,201344.90766951523,201344.90766951523,201344.90766951523,1098.3011592045048,1098.3011592045048,1098.3011592045048,-9555.482992680021,-9555.482992680021,-9555.482992680021,67.49509607490245,67.49509607490245,67.49509607490245,-57.79022529947032,-57.79022529947032,-57.79022529947032,0.0,0.0,0.0,345023.2510975128
,,2024-08-19,21626.985401459857,3.35036496350365,21092.467153284673,23045.036496350367,23357836.94890511,1136.3868613138686,0,2024-08-19,18290.648075897567,304608.47426945344,309836.4318908238,18290.648075897567,18290.648075897567,-254.5912757332617,-254.5912757332617,-254.5912757332617,125114.48266584412,125114.48266584412,125114.48266584412,288880.819411466,288880.819411466,288880.819411466,2560.2374224361465,2560.2374224361465,2560.2374224361465,-10119.283398,-10119.283398,-10119.283398,299384.26753902226,299384.26753902226,299384.26753902226,178441.74239872282,178441.74239872282,178441.74239872282,833.6057755294165,833.6057755294165,833.6057755294165,-7311.209447776981,-7311.209447776981,-7311.209447776981,-306.3887284005981,-306.3887284005981,-306.3887284005981,-77.77600115564425,-77.77600115564425,-77.77600115564425,0.0,0.0,0.0,307171.4674873636
,,2024-08-20,30185.35766423358,2.6715328467153285,29817.05109781022,36799.29197080292,23357846.635036495,1136.3868613138686,1,2024-08-20,18290.284271490502,305905.7735845096,311235.6544170423,18290.284271490502,18290.284271490502,-390.7715445301243,-390.7715445301243,-390.7715445301243,125114.48266584412,125114.48266584412,125114.48266584412,290363.2873992318,290363.2873992318,290363.2873992318,1641.383918667665,1641.383918667665,1641.383918667665,-10119.283398,-10119.283398,-10119.283398,300641.55802381714,300641.55802381714,300641.55802381714,178441.64742318302,178441.64742318302,178441.64742318302,435.5355688505341,435.5355688505341,435.5355688505341,-4600.720008198078,-4600.720008198078,-4600.720008198078,-64.71583002082029,-64.71583002082029,-64.71583002082029,-94.27139656449127,-94.27139656449127,-94.27139656449127,0.0,0.0,0.0,308653.57167072233
,,2024-08-21,21984.92700729927,1.686131386861314,20578.394124087594,36932.401459854016,23357860.467153285,1136.3868613138686,2,2024-08-21,18289.920467083433,303843.7892756217,309343.5438637195,18289.920467083433,18289.920467083433,-588.4525798804085,-588.4525798804085,-588.4525798804085,125114.48266584412,125114.48266584412,125114.48266584412,288281.8928737805,288281.8928737805,288281.8928737805,2521.8076967159113,2521.8076967159113,2521.8076967159113,-10119.283398,-10119.283398,-10119.283398,298450.1148766929,298450.1148766929,298450.1148766929,178441.51179496292,178441.51179496292,178441.51179496292,431.68316681278594,431.68316681278594,431.68316681278594,-7470.917867762479,-7470.917867762479,-7470.917867762479,58.171106887427555,58.171106887427555,58.171106887427555,-107.10971179980925,-107.10971179980925,-107.10971179980925,0.0,0.0,0.0,306571.81334086397
,,2024-08-22,26438.788321167885,1.9489051094890513,27047.56204379562,27270.985401459857,23357872.408759125,1136.3868613138686,3,2024-08-22,18289.55666267637,305504.2764004644,310998.90697451634,18289.55666267637,18289.55666267637,-535.7376371203327,-535.7376371203327,-535.7376371203327,125114.48266584412,125114.48266584412,125114.48266584412,289924.32468828274,289924.32468828274,289924.32468828274,2043.6272731617798,2043.6272731617798,2043.6272731617798,-10119.283398,-10119.283398,-10119.283398,300313.9425877809,300313.9425877809,300313.9425877809,178441.39470379247,178441.39470379247,178441.39470379247,711.3000384289294,711.3000384289294,711.3000384289294,-5461.124456326082,-5461.124456326082,-5461.124456326082,-154.0912985099488,-154.0912985099488,-154.0912985099488,-116.24320298821664,-116.24320298821664,-116.24320298821664,0.0,0.0,0.0,308213.8813509591
,,2024-08-23,23012.116788321167,1.686131386861314,20592.175182481755,22189.525547445253,23357885.357664235,1136.3868613138686,4,2024-08-23,18289.1928582693,304406.52501694835,309747.19445390615,18289.1928582693,18289.1928582693,-588.4525798804085,-588.4525798804085,-588.4525798804085,125114.48266584412,125114.48266584412,125114.48266584412,288675.34163661074,288675.34163661074,288675.34163661074,2411.52540233237,2411.52540233237,2411.52540233237,-10119.283398,-10119.283398,-10119.283398,298770.5523880241,298770.5523880241,298770.5523880241,178441.26773573842,178441.26773573842,178441.26773573842,858.365634096771,858.365634096771,858.365634096771,-7466.636470107175,-7466.636470107175,-7466.636470107175,145.81436054254078,145.81436054254078,145.81436054254078,-121.74171395586681,-121.74171395586681,-121.74171395586681,0.0,0.0,0.0,306964.53449488006
,,2024-08-24,12436.535036496352,3.1335766423357665,13400.90802919708,16720.265693430658,21022106.62992701,1022.7481751824818,5,2024-08-24,18288.82905386223,342583.2525236661,348130.3991935998,18288.82905386223,18288.82905386223,-298.08110351032434,-298.08110351032434,-298.08110351032434,141172.61314491933,141172.61314491933,141172.61314491933,327092.32422768406,327092.32422768406,327092.32422768406,3546.9528000540117,3546.9528000540117,3546.9528000540117,-10119.283398,-10119.283398,-10119.283398,337081.6800869176,337081.6800869176,337081.6800869176,201344.3068114503,201344.3068114503,201344.3068114503,1016.654783553969,1016.654783553969,1016.654783553969,-9700.766349549665,-9700.766349549665,-9700.766349549665,253.7152934270438,253.7152934270438,253.7152934270438,-123.78775466057087,-123.78775466057087,-123.78775466057087,0.0,0.0,0.0,345381.1532815463
