Detail,Value,ds,reading_fee_paid,amount_paid,Coupon_Discount,payable_amount,transaction_type_id,transaction,member_branch_id,day_of_week,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Coupon_Discount,Coupon_Discount_lower,Coupon_Discount_upper,additive_terms,additive_terms_lower,additive_terms_upper,amount_paid,amount_paid_lower,amount_paid_upper,daily,daily_lower,daily_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,member_branch_id,member_branch_id_lower,member_branch_id_upper,payable_amount,payable_amount_lower,payable_amount_upper,reading_fee_paid,reading_fee_paid_lower,reading_fee_paid_upper,transaction_type_id,transaction_type_id_lower,transaction_type_id_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
Forecasting Period,2024-08-15 00:00:00 to 2024-10-31 00:00:00,2024-08-15,21428.14598540146,22596.861313868612,3081.343065693431,26978.160583941608,1.0364963503649636,,269.2043795620438,3,2024-08-15,3.6203989772525818,0.2855718644029516,7.696551556334699,3.6203989772525818,3.6203989772525818,-1.614279701586788,-1.614279701586788,-1.614279701586788,0.4795237365705581,0.4795237365705581,0.4795237365705581,4.119412279857626,4.119412279857626,4.119412279857626,1.175184,1.175184,1.175184,-0.7062241479549165,-0.7062241479549165,-0.7062241479549165,-0.049225024328972015,-0.049225024328972015,-0.049225024328972015,0.7329468787816531,0.7329468787816531,0.7329468787816531,-3.9022237483946673,-3.9022237483946673,-3.9022237483946673,0.00714516771623161,0.00714516771623161,0.00714516771623161,0.09599456400068465,0.09599456400068465,0.09599456400068465,-0.08543067947521055,-0.08543067947521055,-0.08543067947521055,0.0,0.0,0.0,4.0999227138231396
Regressors,"reading_fee_paid, amount_paid, Coupon_Discount, payable_amount, transaction_type_id, transaction, member_branch_id",2024-08-16,21886.515328467154,22908.350364963506,3640.2233576642334,25154.71532846716,0.8686131386861314,,176.60583941605842,4,2024-08-16,3.6205938155281467,0.7834712686698377,8.058463828189302,3.6205938155281467,3.6205938155281467,-1.4183136775011231,-1.4183136775011231,-1.4183136775011231,0.875229552509996,0.875229552509996,0.875229552509996,4.063322259783776,4.063322259783776,4.063322259783776,1.175184,1.175184,1.175184,-0.46069030866286476,-0.46069030866286476,-0.46069030866286476,-0.07578429769425117,-0.07578429769425117,-0.07578429769425117,0.7866860722190328,0.7866860722190328,0.7866860722190328,-3.8251190523659826,-3.8251190523659826,-3.8251190523659826,0.00851838689568353,0.00851838689568353,0.00851838689568353,0.24300633057931859,0.24300633057931859,0.24300633057931859,-0.08227046940645756,-0.08227046940645756,-0.08227046940645756,0.0,0.0,0.0,4.495823368038143
Number of Days in future_df,78,2024-08-17,16678.45839416059,17067.777372262775,2691.1182481751825,23838.45766423358,0.716058394160584,,190.68175182481755,5,2024-08-17,3.6207886538037117,0.7391783300062066,7.981433656777634,3.6207886538037117,3.6207886538037117,-1.7511082981346169,-1.7511082981346169,-1.7511082981346169,0.602117487301706,0.602117487301706,0.602117487301706,5.115037738231112,5.115037738231112,5.115037738231112,1.175184,1.175184,1.175184,-0.5737669881605844,-0.5737669881605844,-0.5737669881605844,-0.07174702016330331,-0.07174702016330331,-0.07174702016330331,0.8254778182390013,0.8254778182390013,0.8254778182390013,-4.7011934515263105,-4.7011934515263105,-4.7011934515263105,0.00976622519353332,0.00976622519353332,0.00976622519353332,0.08497267477252733,0.08497267477252733,0.08497267477252733,-0.0842721993102366,-0.0842721993102366,-0.0842721993102366,0.0,0.0,0.0,4.222906141105418
Weekend Adjustment Factor,0.9,2024-08-18,13868.549343065693,14506.784671532849,3378.4764700729925,13899.192700729927,1.0116788321167882,,333.6963503649635,6,2024-08-18,3.620983492079277,1.0096588068779595,8.178904877068431,3.620983492079277,3.620983492079277,-1.5100927178698123,-1.5100927178698123,-1.5100927178698123,1.053194824036004,1.053194824036004,1.053194824036004,5.576197228389772,5.576197228389772,5.576197228389772,1.175184,1.175184,1.175184,-0.012737261870351013,-0.012737261870351013,-0.012737261870351013,-0.030727325772170244,-0.030727325772170244,-0.030727325772170244,1.1184002851436172,1.1184002851436172,1.1184002851436172,-5.1738628970958205,-5.1738628970958205,-5.1738628970958205,0.007348165334063634,0.007348165334063634,0.007348165334063634,-0.017665206447362327,-0.017665206447362327,-0.017665206447362327,-0.09158670764628318,-0.09158670764628318,-0.09158670764628318,0.0,0.0,0.0,4.674178316115281
,,2024-08-19,21092.467153284673,21626.985401459857,4250.014635036497,23045.036496350367,1.1240875912408759,,114.67883211678834,0,2024-08-19,3.6211783303548426,1.070622546281065,8.47624256698153,3.6211783303548426,3.6211783303548426,-1.2044962037674019,-1.2044962037674019,-1.2044962037674019,1.0926915430444297,1.0926915430444297,1.0926915430444297,4.29405841655146,4.29405841655146,4.29405841655146,1.175184,1.175184,1.175184,-0.1073845006319688,-0.1073845006319688,-0.1073845006319688,-0.09354630898473108,-0.09354630898473108,-0.09354630898473108,0.8488609241974491,0.8488609241974491,0.8488609241974491,-3.958690034164392,-3.958690034164392,-3.958690034164392,0.006428705535647999,0.006428705535647999,0.006428705535647999,0.1291091204913545,0.1291091204913545,0.1291091204913545,-0.10421707681495579,-0.10421707681495579,-0.10421707681495579,0.0,0.0,0.0,4.713869873399272
,,2024-08-20,29817.05109781022,30185.35766423358,5728.972262773723,36799.29197080292,0.5620437956204379,,374.2408759124088,1,2024-08-20,3.6213731686304076,0.7618020457255236,7.955928219697618,3.6213731686304076,3.6213731686304076,-0.6859138700143039,-0.6859138700143039,-0.6859138700143039,0.7826321024003138,0.7826321024003138,0.7826321024003138,2.7529471950458877,2.7529471950458877,2.7529471950458877,1.175184,1.175184,1.175184,0.01138470967770161,0.01138470967770161,0.01138470967770161,-0.019098274862917555,-0.019098274862917555,-0.019098274862917555,0.4435059549107931,0.4435059549107931,0.4435059549107931,-2.491082299929484,-2.491082299929484,-2.491082299929484,0.011026004527726169,0.011026004527726169,0.011026004527726169,-0.2819208878279421,-0.2819208878279421,-0.2819208878279421,-0.12201571944944584,-0.12201571944944584,-0.12201571944944584,0.0,0.0,0.0,4.404005271030721
,,2024-08-21,20578.394124087594,21984.92700729927,2908.2481459854016,36932.401459854016,1.1240875912408759,,370.81751824817525,2,2024-08-21,3.6215680069059726,-0.5157052327908194,6.993307554193881,3.6215680069059726,3.6215680069059726,-1.6749737781035927,-1.6749737781035927,-1.6749737781035927,-0.28760130104154147,-0.28760130104154147,-0.28760130104154147,4.229603657110548,4.229603657110548,4.229603657110548,1.175184,1.175184,1.175184,-1.0646034680629808,-1.0646034680629808,-1.0646034680629808,-0.02008016822633517,-0.02008016822633517,-0.02008016822633517,0.4395830531625823,0.4395830531625823,0.4395830531625823,-4.0451649375418315,-4.0451649375418315,-4.0451649375418315,0.006428705535647999,0.006428705535647999,0.006428705535647999,-0.25349659556813803,-0.25349659556813803,-0.25349659556813803,-0.14468523741042238,-0.14468523741042238,-0.14468523741042238,0.0,0.0,0.0,3.333966705864431
,,2024-08-22,27047.56204379562,26438.788321167885,5750.732846715328,27270.985401459857,1.1240875912408759,,135.95620437956208,3,2024-08-22,3.6217628451815385,2.0144843278282183,9.067509359318056,3.6217628451815385,3.6217628451815385,-0.6782837295744231,-0.6782837295744231,-0.6782837295744231,1.535055628515162,1.535055628515162,1.535055628515162,3.4275941815834905,3.4275941815834905,3.4275941815834905,1.175184,1.175184,1.175184,0.4356601423144405,0.4356601423144405,0.4356601423144405,-0.08744349628886251,-0.08744349628886251,-0.08744349628886251,0.7243169681963836,0.7243169681963836,0.7243169681963836,-2.9569524871377957,-2.9569524871377957,-2.9569524871377957,0.006428705535647999,0.006428705535647999,0.006428705535647999,0.09599456399945788,0.09599456399945788,0.09599456399945788,-0.17178307779873625,-0.17178307779873625,-0.17178307779873625,0.0,0.0,0.0,5.156818473696701
,,2024-08-23,20592.175182481755,23012.116788321167,3928.1167883211683,22189.525547445253,1.416058394160584,,45.37956204379562,4,2024-08-23,3.621957683457103,0.4720291132156622,7.866374012400467,3.621957683457103,3.621957683457103,-1.3173666021135206,-1.3173666021135206,-1.3173666021135206,0.6645755809588811,0.6645755809588811,0.6645755809588811,4.044636977753269,4.044636977753269,4.044636977753269,1.175184,1.175184,1.175184,-0.5508848323929086,-0.5508848323929086,-0.5508848323929086,-0.11342284542883956,-0.11342284542883956,-0.11342284542883956,0.8740738930173142,0.8740738930173142,0.8740738930173142,-4.042846753888168,-4.042846753888168,-4.042846753888168,0.004040498267035962,0.004040498267035962,0.004040498267035962,0.2430063305791299,0.2430063305791299,0.2430063305791299,-0.20272991722733996,-0.20272991722733996,-0.20272991722733996,0.0,0.0,0.0,4.286533264415985
,,2024-08-24,13400.90802919708,12436.535036496352,2438.947445255474,16720.265693430658,0.9328467153284672,,287.51386861313875,5,2024-08-24,3.6221525217326684,0.9024404309083787,8.219455850382205,3.6221525217326684,3.6221525217326684,-1.8395295760873678,-1.8395295760873678,-1.8395295760873678,0.8795458073303821,0.8795458073303821,0.8795458073303821,5.94898832065742,5.94898832065742,5.94898832065742,1.175184,1.175184,1.175184,-0.1437892539587065,-0.1437892539587065,-0.1437892539587065,-0.043973465026633504,-0.043973465026633504,-0.043973465026633504,1.0352597648562307,1.0352597648562307,1.0352597648562307,-5.252527279654945,-5.252527279654945,-5.252527279654945,0.007992981296588883,0.007992981296588883,0.007992981296588883,0.08497267477282508,0.08497267477282508,0.08497267477282508,-0.23682161348373626,-0.23682161348373626,-0.23682161348373626,0.0,0.0,0.0,4.501698329063051
