Detail,Value,ds,amount_paid,reading_fee_paid,payable_amount,Coupon_Discount,subscription_id,id,day_of_week,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Coupon_Discount,Coupon_Discount_lower,Coupon_Discount_upper,additive_terms,additive_terms_lower,additive_terms_upper,amount_paid,amount_paid_lower,amount_paid_upper,daily,daily_lower,daily_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,id,id_lower,id_upper,payable_amount,payable_amount_lower,payable_amount_upper,reading_fee_paid,reading_fee_paid_lower,reading_fee_paid_upper,subscription_id,subscription_id_lower,subscription_id_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
Forecasting Period,2024-08-15 00:00:00 to 2024-10-31 00:00:00,2024-08-15,22596.861313868612,21428.14598540146,26978.160583941608,3081.343065693431,12439828.97080292,23357796.386861313,3,2024-08-15,682.2441788693219,134653.23351187858,136802.90506528414,682.2441788693219,682.2441788693219,1.5568889103097407,1.5568889103097407,1.5568889103097407,135052.11165300128,135052.11165300128,135052.11165300128,-419.54968585348496,-419.54968585348496,-419.54968585348496,-138.72484,-138.72484,-138.72484,135082.05554480103,135082.05554480103,135082.05554480103,135509.60050479913,135509.60050479913,135509.60050479913,38.96093704684296,38.96093704684296,38.96093704684296,-75.9244670436502,-75.9244670436502,-75.9244670436502,27.41136694185467,27.41136694185467,27.41136694185467,74.47378500028034,74.47378500028034,74.47378500028034,34.30716319997728,34.30716319997728,34.30716319997728,0.0,0.0,0.0,135734.3558318706
Regressors,"amount_paid, reading_fee_paid, payable_amount, Coupon_Discount, subscription_id, id",2024-08-16,22908.350364963506,21886.515328467154,25154.71532846716,3640.2233576642334,19096819.671532847,23357808.211678833,4,2024-08-16,682.1834626507482,134659.23651286506,136872.79417440644,682.1834626507482,682.1834626507482,1.3678898605189502,1.3678898605189502,1.3678898605189502,135089.1577282361,135089.1577282361,135089.1577282361,-413.8370868945109,-413.8370868945109,-413.8370868945109,-138.72484,-138.72484,-138.72484,135076.09929367228,135076.09929367228,135076.09929367228,135509.51245497272,135509.51245497272,135509.51245497272,41.81752787637509,41.81752787637509,41.81752787637509,-74.42426271657928,-74.42426271657928,-74.42426271657928,11.662770573769029,11.662770573769029,11.662770573769029,105.1033271407785,105.1033271407785,105.1033271407785,46.67994742306614,46.67994742306614,46.67994742306614,0.0,0.0,0.0,135771.34119088686
Number of Days in future_df,78,2024-08-17,17067.777372262775,16678.45839416059,23838.45766423358,2691.1182481751825,12251712.645985402,21022036.39051095,5,2024-08-17,682.1227464321745,151611.3999534917,153910.42779530011,682.1227464321745,682.1227464321745,1.6888529834311214,1.6888529834311214,1.6888529834311214,152066.23119729778,152066.23119729778,152066.23119729778,-520.9511285619008,-520.9511285619008,-520.9511285619008,-138.72484,-138.72484,-138.72484,152363.1148460686,152363.1148460686,152363.1148460686,152902.11095505315,152902.11095505315,152902.11095505315,43.87956377334677,43.87956377334677,43.87956377334677,-91.46979524766435,-91.46979524766435,-91.46979524766435,27.85639806822742,27.85639806822742,27.85639806822742,-215.62938228956494,-215.62938228956494,-215.62938228956494,57.470573518718716,57.470573518718716,57.470573518718716,0.0,0.0,0.0,152748.35394372995
Weekend Adjustment Factor,0.9,2024-08-18,14506.784671532849,13868.549343065693,13899.192700729927,3378.4764700729925,9205770.63941606,21022045.351094894,6,2024-08-18,682.0620302136008,151742.64311274845,153911.42164773442,682.0620302136008,682.0620302136008,1.456405977031117,1.456405977031117,1.456405977031117,152162.84949605953,152162.84949605953,152162.84949605953,-567.9188283404493,-567.9188283404493,-567.9188283404493,-138.72484,-138.72484,-138.72484,152329.42798780694,152329.42798780694,152329.42798780694,152902.04423285136,152902.04423285136,152902.04423285136,59.45031538313226,59.45031538313226,59.45031538313226,-100.66639135711253,-100.66639135711253,-100.66639135711253,35.06225329299102,35.06225329299102,35.06225329299102,-94.34515154710179,-94.34515154710179,-94.34515154710179,66.49149979967352,66.49149979967352,66.49149979967352,0.0,0.0,0.0,152844.91152627312
,,2024-08-19,21626.985401459857,21092.467153284673,23045.036496350367,4250.014635036497,14820543.240875913,23357836.94890511,0,2024-08-19,682.001313995027,134729.5672027617,136928.0102752192,682.001313995027,682.001313995027,1.1616740149258638,1.1616740149258638,1.1616740149258638,135118.667494956,135118.667494956,135118.667494956,-437.3368668413405,-437.3368668413405,-437.3368668413405,-138.72484,-138.72484,-138.72484,135063.00194931604,135063.00194931604,135063.00194931604,135509.29847215378,135509.29847215378,135509.29847215378,45.1225293218475,45.1225293218475,45.1225293218475,-77.02311564235357,-77.02311564235357,-77.02311564235357,21.779256309191446,21.779256309191446,21.779256309191446,120.80121214731922,120.80121214731922,120.80121214731922,73.58917349263643,73.58917349263643,73.58917349263643,0.0,0.0,0.0,135800.668808951
,,2024-08-20,30185.35766423358,29817.05109781022,36799.29197080292,5728.972262773723,22490925.394160584,23357846.635036495,1,2024-08-20,681.9405977764534,134737.52132599207,136940.16445035016,681.9405977764534,681.9405977764534,0.6615282943861595,0.6615282943861595,0.6615282943861595,135168.4515984422,135168.4515984422,135168.4515984422,-280.379348408568,-280.379348408568,-280.379348408568,-138.72484,-138.72484,-138.72484,135208.2487501697,135208.2487501697,135208.2487501697,135509.22634738858,135509.22634738858,135509.22634738858,23.57525229918738,23.57525229918738,23.57525229918738,-48.46828582339087,-48.46828582339087,-48.46828582339087,3.6332564195111776,3.6332564195111776,3.6332564195111776,20.279513301873283,20.279513301873283,20.279513301873283,78.64817497062461,78.64817497062461,78.64817497062461,0.0,0.0,0.0,135850.39219621863
,,2024-08-21,21984.92700729927,20578.394124087594,36932.401459854016,2908.2481459854016,13142065.90510949,23357860.467153285,2,2024-08-21,681.8798815578797,134679.62895675635,136753.54890968013,681.8798815578797,681.8798815578797,1.6154251940514113,1.6154251940514113,1.6154251940514113,134982.56401340468,134982.56401340468,134982.56401340468,-430.77234446822894,-430.77234446822894,-430.77234446822894,-138.72484,-138.72484,-138.72484,135050.3775912687,135050.3775912687,135050.3775912687,135509.12335083232,135509.12335083232,135509.12335083232,23.36672432468116,23.36672432468116,23.36672432468116,-78.70563345140648,-78.70563345140648,-78.70563345140648,25.750068837300695,25.750068837300695,25.750068837300695,-10.683303753130554,-10.683303753130554,-10.683303753130554,81.59456588909701,81.59456588909701,81.59456588909701,0.0,0.0,0.0,135664.44389496258
,,2024-08-22,26438.788321167885,27047.56204379562,27270.985401459857,5750.732846715328,12414891.043795621,23357872.408759125,3,2024-08-22,681.819165339306,134808.8993068776,136956.9726760197,681.819165339306,681.819165339306,0.6541694203178804,0.6541694203178804,0.6541694203178804,135187.1857483226,135187.1857483226,135187.1857483226,-349.0901042238694,-349.0901042238694,-349.0901042238694,-138.72484,-138.72484,-138.72484,135169.03846972468,135169.03846972468,135169.03846972468,135509.03443137798,135509.03443137798,135509.03443137798,38.50220065984658,38.50220065984658,38.50220065984658,-57.53259068029916,-57.53259068029916,-57.53259068029916,27.470363170683953,27.470363170683953,27.470363170683953,74.4737849998142,74.4737849998142,74.4737849998142,82.39833359811605,82.39833359811605,82.39833359811605,0.0,0.0,0.0,135869.00491366192
,,2024-08-23,23012.116788321167,20592.175182481755,22189.525547445253,3928.1167883211683,22489055.386861313,23357885.357664235,4,2024-08-23,681.7584491207323,134724.61361109585,136878.6943037978,681.7584491207323,681.7584491207323,1.2705316505106894,1.2705316505106894,1.2705316505106894,135117.16774334118,135117.16774334118,135117.16774334118,-411.9340474137786,-411.9340474137786,-411.9340474137786,-138.72484,-138.72484,-138.72484,135069.7144108438,135069.7144108438,135069.7144108438,135508.93801138285,135508.93801138285,135508.93801138285,46.46276409109524,46.46276409109524,46.46276409109524,-78.660529205786,-78.660529205786,-78.660529205786,3.637680338889397,3.637680338889397,3.637680338889397,105.10332714058804,105.10332714058804,105.10332714058804,81.07484535680149,81.07484535680149,81.07484535680149,0.0,0.0,0.0,135798.92619246192
,,2024-08-24,12436.535036496352,13400.90802919708,16720.265693430658,2438.947445255474,3834366.2671532854,21022106.62992701,5,2024-08-24,681.6977329021586,151661.83805621852,153753.41001799094,681.6977329021586,681.6977329021586,1.7741307125289572,1.7741307125289572,1.7741307125289572,152021.4100409137,152021.4100409137,152021.4100409137,-605.8864739715088,-605.8864739715088,-605.8864739715088,-138.72484,-138.72484,-138.72484,152298.07901327268,152298.07901327268,152298.07901327268,152901.58793908416,152901.58793908416,152901.58793908416,55.03085106623241,55.03085106623241,55.03085106623241,-102.19694206517389,-102.19694206517389,-102.19694206517389,47.76950844647372,47.76950844647372,47.76950844647372,-215.6293822894372,-215.6293822894372,-215.6293822894372,77.68524993046074,77.68524993046074,77.68524993046074,0.0,0.0,0.0,152703.10777381586
